Subject,Run,Positive,Negative,Future,Past,Myself,People,Surroundings,Vigilance,Images,Words,Specific,Intrusive
sub-010049,post-ses-02-run-02-acq-PA,55.0,45.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,45.0,55.0,55.0
sub-010050,post-ses-02-run-01-acq-AP,80.0,5.0,5.0,85.0,5.0,95.0,5.0,100.0,30.0,90.0,65.0,50.0
sub-010050,post-ses-02-run-01-acq-PA,95.0,5.0,95.0,0.0,30.0,95.0,0.0,100.0,5.0,90.0,95.0,75.0
sub-010050,post-ses-02-run-02-acq-AP,95.0,0.0,100.0,5.0,85.0,75.0,20.0,100.0,5.0,95.0,90.0,60.0
sub-010050,post-ses-02-run-02-acq-PA,95.0,20.0,95.0,25.0,60.0,90.0,20.0,50.0,5.0,100.0,90.0,50.0
sub-010051,post-ses-02-run-01-acq-AP,50.0,50.0,60.0,50.0,50.0,55.0,55.0,50.0,35.0,50.0,50.0,35.0
sub-010051,post-ses-02-run-01-acq-PA,65.0,25.0,70.0,30.0,50.0,60.0,50.0,80.0,50.0,30.0,70.0,40.0
sub-010051,post-ses-02-run-02-acq-AP,70.0,25.0,75.0,35.0,65.0,65.0,30.0,50.0,70.0,40.0,70.0,50.0
sub-010051,post-ses-02-run-02-acq-PA,65.0,50.0,60.0,25.0,40.0,70.0,50.0,75.0,50.0,60.0,50.0,35.0
sub-010052,post-ses-02-run-01-acq-AP,85.0,0.0,50.0,0.0,40.0,80.0,0.0,65.0,100.0,0.0,100.0,70.0
sub-010052,post-ses-02-run-01-acq-PA,75.0,20.0,50.0,30.0,75.0,95.0,0.0,65.0,100.0,0.0,80.0,75.0
sub-010052,post-ses-02-run-02-acq-AP,40.0,50.0,70.0,0.0,30.0,50.0,50.0,65.0,55.0,0.0,70.0,60.0
sub-010052,post-ses-02-run-02-acq-PA,55.0,30.0,40.0,20.0,20.0,90.0,0.0,80.0,95.0,0.0,75.0,60.0
sub-010009,post-ses-02-run-01-acq-AP,75.0,5.0,60.0,10.0,65.0,30.0,80.0,55.0,65.0,65.0,65.0,25.0
sub-010009,post-ses-02-run-01-acq-PA,80.0,5.0,55.0,55.0,35.0,70.0,60.0,40.0,65.0,65.0,60.0,20.0
sub-010009,post-ses-02-run-02-acq-AP,55.0,40.0,40.0,45.0,45.0,70.0,45.0,35.0,75.0,40.0,20.0,35.0
sub-010009,post-ses-02-run-02-acq-PA,60.0,35.0,20.0,40.0,40.0,35.0,55.0,30.0,55.0,60.0,10.0,10.0
sub-010055,post-ses-02-run-01-acq-AP,65.0,15.0,80.0,85.0,15.0,85.0,5.0,85.0,85.0,25.0,40.0,5.0
sub-010055,post-ses-02-run-01-acq-PA,85.0,20.0,75.0,85.0,10.0,50.0,15.0,90.0,90.0,50.0,25.0,15.0
sub-010055,post-ses-02-run-02-acq-AP,90.0,5.0,90.0,95.0,95.0,95.0,5.0,95.0,90.0,5.0,10.0,5.0
sub-010055,post-ses-02-run-02-acq-PA,95.0,5.0,95.0,95.0,95.0,95.0,5.0,95.0,90.0,5.0,5.0,5.0
sub-010056,post-ses-02-run-01-acq-AP,75.0,10.0,85.0,20.0,20.0,75.0,10.0,80.0,80.0,75.0,95.0,65.0
sub-010056,post-ses-02-run-01-acq-PA,70.0,5.0,75.0,25.0,25.0,65.0,25.0,40.0,90.0,30.0,20.0,25.0
sub-010056,post-ses-02-run-02-acq-AP,45.0,60.0,80.0,25.0,55.0,60.0,35.0,80.0,65.0,30.0,75.0,50.0
sub-010056,post-ses-02-run-02-acq-PA,50.0,50.0,70.0,50.0,35.0,65.0,25.0,100.0,60.0,65.0,70.0,50.0
sub-010057,post-ses-02-run-01-acq-AP,75.0,20.0,75.0,30.0,30.0,65.0,30.0,70.0,45.0,50.0,50.0,50.0
sub-010057,post-ses-02-run-01-acq-PA,85.0,30.0,75.0,40.0,35.0,60.0,15.0,75.0,25.0,65.0,70.0,30.0
sub-010057,post-ses-02-run-02-acq-AP,70.0,30.0,60.0,35.0,30.0,60.0,30.0,65.0,30.0,60.0,65.0,25.0
sub-010057,post-ses-02-run-02-acq-PA,70.0,25.0,65.0,30.0,40.0,55.0,30.0,70.0,35.0,55.0,65.0,40.0
sub-010058,post-ses-02-run-01-acq-AP,45.0,65.0,60.0,45.0,40.0,60.0,70.0,35.0,70.0,45.0,40.0,65.0
sub-010058,post-ses-02-run-01-acq-PA,45.0,65.0,60.0,55.0,55.0,65.0,65.0,40.0,65.0,50.0,45.0,65.0
sub-010058,post-ses-02-run-02-acq-AP,45.0,60.0,55.0,40.0,65.0,60.0,70.0,40.0,65.0,55.0,40.0,60.0
sub-010058,post-ses-02-run-02-acq-PA,55.0,55.0,50.0,45.0,55.0,60.0,65.0,45.0,70.0,55.0,45.0,60.0
sub-010059,post-ses-02-run-01-acq-AP,50.0,50.0,80.0,40.0,50.0,70.0,20.0,35.0,50.0,0.0,40.0,0.0
sub-010059,post-ses-02-run-01-acq-PA,85.0,0.0,80.0,50.0,10.0,85.0,0.0,40.0,40.0,10.0,80.0,0.0
sub-010059,post-ses-02-run-02-acq-AP,50.0,0.0,70.0,70.0,35.0,80.0,50.0,50.0,20.0,0.0,90.0,0.0
sub-010059,post-ses-02-run-02-acq-PA,80.0,0.0,85.0,40.0,50.0,65.0,20.0,50.0,20.0,25.0,50.0,0.0
sub-010060,post-ses-02-run-01-acq-AP,75.0,25.0,0.0,0.0,5.0,85.0,35.0,90.0,100.0,5.0,25.0,65.0
sub-010060,post-ses-02-run-01-acq-PA,25.0,75.0,80.0,10.0,85.0,15.0,70.0,100.0,25.0,100.0,100.0,100.0
sub-010060,post-ses-02-run-02-acq-AP,75.0,25.0,25.0,70.0,80.0,10.0,95.0,100.0,20.0,90.0,35.0,85.0
sub-010060,post-ses-02-run-02-acq-PA,35.0,15.0,25.0,20.0,100.0,100.0,100.0,100.0,90.0,80.0,80.0,35.0
sub-010061,post-ses-02-run-01-acq-AP,50.0,70.0,80.0,60.0,35.0,85.0,10.0,90.0,50.0,60.0,50.0,60.0
sub-010061,post-ses-02-run-01-acq-PA,50.0,75.0,60.0,40.0,60.0,65.0,35.0,90.0,75.0,20.0,50.0,60.0
sub-010061,post-ses-02-run-02-acq-AP,70.0,55.0,50.0,90.0,50.0,85.0,15.0,70.0,85.0,50.0,75.0,40.0
sub-010061,post-ses-02-run-02-acq-PA,75.0,25.0,30.0,80.0,30.0,60.0,25.0,75.0,85.0,65.0,70.0,35.0
sub-010062,post-ses-02-run-01-acq-AP,80.0,15.0,65.0,60.0,60.0,75.0,65.0,80.0,95.0,40.0,70.0,30.0
sub-010062,post-ses-02-run-01-acq-PA,75.0,10.0,70.0,65.0,70.0,80.0,35.0,85.0,85.0,50.0,75.0,35.0
sub-010062,post-ses-02-run-02-acq-AP,70.0,35.0,40.0,65.0,60.0,70.0,70.0,35.0,75.0,55.0,65.0,40.0
sub-010062,post-ses-02-run-02-acq-PA,65.0,15.0,65.0,40.0,55.0,70.0,60.0,35.0,70.0,60.0,65.0,40.0
sub-010011,post-ses-02-run-01-acq-AP,70.0,25.0,55.0,50.0,60.0,70.0,60.0,65.0,55.0,75.0,35.0,35.0
sub-010011,post-ses-02-run-01-acq-PA,65.0,65.0,70.0,25.0,65.0,35.0,70.0,55.0,65.0,80.0,65.0,60.0
sub-010011,post-ses-02-run-02-acq-AP,65.0,35.0,60.0,70.0,65.0,65.0,70.0,55.0,35.0,75.0,35.0,35.0
sub-010011,post-ses-02-run-02-acq-PA,70.0,40.0,60.0,65.0,65.0,65.0,65.0,55.0,60.0,65.0,65.0,60.0
sub-010064,post-ses-02-run-01-acq-AP,80.0,35.0,65.0,95.0,85.0,90.0,50.0,15.0,95.0,60.0,75.0,70.0
sub-010064,post-ses-02-run-01-acq-PA,85.0,25.0,80.0,95.0,75.0,85.0,40.0,40.0,100.0,35.0,80.0,60.0
sub-010064,post-ses-02-run-02-acq-AP,80.0,40.0,85.0,70.0,80.0,80.0,40.0,40.0,100.0,35.0,65.0,60.0
sub-010064,post-ses-02-run-02-acq-PA,65.0,50.0,80.0,75.0,75.0,70.0,50.0,60.0,90.0,60.0,70.0,60.0
sub-010065,post-ses-02-run-01-acq-AP,80.0,15.0,70.0,75.0,30.0,85.0,40.0,65.0,90.0,95.0,90.0,75.0
sub-010065,post-ses-02-run-01-acq-PA,85.0,45.0,15.0,80.0,60.0,90.0,55.0,25.0,90.0,95.0,95.0,75.0
sub-010065,post-ses-02-run-02-acq-AP,75.0,20.0,75.0,35.0,60.0,65.0,25.0,30.0,90.0,95.0,70.0,50.0
sub-010065,post-ses-02-run-02-acq-PA,90.0,20.0,75.0,80.0,40.0,95.0,20.0,60.0,85.0,90.0,75.0,50.0
sub-010067,post-ses-02-run-01-acq-AP,70.0,25.0,60.0,25.0,75.0,25.0,70.0,35.0,90.0,60.0,10.0,10.0
sub-010067,post-ses-02-run-01-acq-PA,75.0,30.0,80.0,10.0,60.0,80.0,60.0,45.0,75.0,30.0,65.0,25.0
sub-010067,post-ses-02-run-02-acq-AP,65.0,25.0,70.0,25.0,30.0,75.0,60.0,55.0,80.0,15.0,70.0,30.0
sub-010067,post-ses-02-run-02-acq-PA,60.0,35.0,60.0,30.0,40.0,65.0,65.0,50.0,40.0,55.0,30.0,30.0
sub-010068,post-ses-02-run-01-acq-AP,70.0,50.0,70.0,75.0,70.0,85.0,35.0,35.0,80.0,40.0,60.0,60.0
sub-010068,post-ses-02-run-01-acq-PA,65.0,40.0,75.0,70.0,35.0,80.0,55.0,25.0,70.0,65.0,35.0,70.0
sub-010068,post-ses-02-run-02-acq-AP,70.0,35.0,60.0,25.0,70.0,60.0,65.0,25.0,40.0,70.0,60.0,50.0
sub-010068,post-ses-02-run-02-acq-PA,65.0,60.0,75.0,65.0,65.0,85.0,30.0,40.0,80.0,70.0,85.0,60.0
sub-010069,post-ses-02-run-01-acq-AP,5.0,5.0,30.0,30.0,5.0,15.0,95.0,30.0,65.0,50.0,65.0,5.0
sub-010069,post-ses-02-run-01-acq-PA,5.0,5.0,20.0,40.0,35.0,25.0,70.0,30.0,65.0,50.0,70.0,15.0
sub-010069,post-ses-02-run-02-acq-AP,5.0,5.0,35.0,35.0,25.0,10.0,55.0,25.0,55.0,45.0,70.0,20.0
sub-010069,post-ses-02-run-02-acq-PA,5.0,5.0,20.0,20.0,15.0,15.0,90.0,30.0,65.0,50.0,65.0,15.0
sub-010070,post-ses-02-run-01-acq-AP,60.0,20.0,70.0,70.0,40.0,60.0,20.0,25.0,60.0,35.0,40.0,25.0
sub-010070,post-ses-02-run-01-acq-PA,60.0,25.0,70.0,70.0,55.0,75.0,30.0,45.0,75.0,20.0,65.0,35.0
sub-010070,post-ses-02-run-02-acq-AP,70.0,30.0,70.0,70.0,30.0,70.0,30.0,50.0,25.0,70.0,35.0,25.0
sub-010070,post-ses-02-run-02-acq-PA,80.0,15.0,80.0,80.0,35.0,85.0,5.0,50.0,85.0,70.0,35.0,20.0
sub-010071,post-ses-02-run-01-acq-AP,50.0,25.0,75.0,35.0,70.0,70.0,65.0,85.0,70.0,30.0,75.0,35.0
sub-010071,post-ses-02-run-01-acq-PA,80.0,40.0,60.0,40.0,40.0,80.0,30.0,90.0,80.0,40.0,30.0,35.0
sub-010071,post-ses-02-run-02-acq-AP,75.0,35.0,70.0,35.0,70.0,80.0,80.0,90.0,80.0,40.0,85.0,55.0
sub-010071,post-ses-02-run-02-acq-PA,80.0,35.0,20.0,20.0,20.0,80.0,20.0,85.0,80.0,30.0,70.0,35.0
sub-010072,post-ses-02-run-01-acq-AP,75.0,15.0,40.0,60.0,70.0,60.0,40.0,40.0,60.0,15.0,35.0,30.0
sub-010072,post-ses-02-run-01-acq-PA,65.0,30.0,30.0,65.0,70.0,75.0,55.0,40.0,40.0,5.0,15.0,35.0
sub-010072,post-ses-02-run-02-acq-AP,65.0,20.0,60.0,50.0,60.0,55.0,45.0,55.0,60.0,25.0,45.0,35.0
sub-010072,post-ses-02-run-02-acq-PA,65.0,0.0,40.0,55.0,10.0,55.0,40.0,55.0,85.0,25.0,35.0,55.0
sub-010073,post-ses-02-run-01-acq-AP,55.0,20.0,50.0,30.0,35.0,95.0,25.0,20.0,70.0,65.0,70.0,65.0
sub-010073,post-ses-02-run-01-acq-PA,50.0,50.0,80.0,25.0,65.0,95.0,55.0,10.0,70.0,70.0,55.0,60.0
sub-010073,post-ses-02-run-02-acq-AP,80.0,10.0,90.0,95.0,80.0,100.0,15.0,90.0,90.0,70.0,85.0,80.0
sub-010073,post-ses-02-run-02-acq-PA,75.0,10.0,100.0,5.0,85.0,35.0,75.0,100.0,75.0,65.0,70.0,35.0
sub-010074,post-ses-02-run-01-acq-AP,50.0,15.0,75.0,25.0,70.0,60.0,55.0,40.0,40.0,70.0,75.0,30.0
sub-010074,post-ses-02-run-01-acq-PA,50.0,45.0,95.0,30.0,55.0,60.0,30.0,80.0,55.0,85.0,85.0,30.0
sub-010074,post-ses-02-run-02-acq-AP,50.0,0.0,90.0,20.0,60.0,65.0,30.0,50.0,60.0,90.0,85.0,45.0
sub-010075,post-ses-02-run-01-acq-AP,85.0,5.0,70.0,5.0,30.0,75.0,85.0,55.0,30.0,5.0,70.0,5.0
sub-010075,post-ses-02-run-01-acq-PA,55.0,50.0,100.0,0.0,70.0,75.0,70.0,65.0,65.0,10.0,75.0,25.0
sub-010075,post-ses-02-run-02-acq-AP,50.0,70.0,60.0,70.0,55.0,85.0,70.0,70.0,60.0,5.0,40.0,20.0
sub-010075,post-ses-02-run-02-acq-PA,70.0,0.0,100.0,10.0,85.0,75.0,60.0,75.0,85.0,0.0,75.0,30.0
sub-010076,post-ses-02-run-01-acq-AP,75.0,5.0,75.0,45.0,25.0,65.0,35.0,95.0,80.0,85.0,95.0,5.0
sub-010076,post-ses-02-run-01-acq-PA,75.0,15.0,70.0,20.0,50.0,65.0,25.0,90.0,60.0,75.0,85.0,10.0
sub-010076,post-ses-02-run-02-acq-AP,55.0,30.0,60.0,30.0,35.0,65.0,60.0,60.0,75.0,70.0,70.0,20.0
sub-010076,post-ses-02-run-02-acq-PA,40.0,35.0,35.0,35.0,35.0,35.0,65.0,60.0,65.0,60.0,80.0,40.0
sub-010077,post-ses-02-run-01-acq-AP,90.0,5.0,70.0,65.0,30.0,75.0,30.0,40.0,60.0,45.0,65.0,10.0
sub-010077,post-ses-02-run-01-acq-PA,80.0,5.0,70.0,75.0,15.0,80.0,55.0,40.0,65.0,35.0,25.0,5.0
sub-010077,post-ses-02-run-02-acq-AP,75.0,5.0,75.0,45.0,25.0,80.0,40.0,45.0,65.0,20.0,10.0,5.0
sub-010077,post-ses-02-run-02-acq-PA,50.0,55.0,55.0,80.0,55.0,75.0,20.0,55.0,85.0,25.0,55.0,60.0
sub-010078,post-ses-02-run-01-acq-AP,65.0,25.0,60.0,75.0,20.0,60.0,55.0,45.0,55.0,25.0,60.0,25.0
sub-010078,post-ses-02-run-01-acq-PA,85.0,35.0,85.0,45.0,40.0,75.0,55.0,60.0,55.0,15.0,45.0,40.0
sub-010078,post-ses-02-run-02-acq-AP,60.0,30.0,85.0,20.0,45.0,60.0,45.0,60.0,60.0,15.0,40.0,40.0
sub-010078,post-ses-02-run-02-acq-PA,55.0,40.0,40.0,55.0,35.0,60.0,40.0,60.0,60.0,15.0,60.0,40.0
